Dilution rate,Species,,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,Lower,2.6059478109755254,0.38551619097530876,0.381666838044664,-0.14872089972797423,2.4093502782805586e-07,0.9921211584221755,2.8298789472583617e-11,0.39691472505540765
0.04,Brachionus,Mean,2.6059478109755254,0.3886241543106886,0.3878903827290241,-0.11635548240100971,0.0026266967188603827,0.9973730251847096,2.7809642996440355e-07,0.418230439811615
0.04,Brachionus,Upper,2.6059478109755263,0.39178010681861136,0.3935801910530835,-0.08621573635829113,0.007877544570027532,0.9999996876848323,8.341802291056901e-07,0.43922955971778593
0.04,Chlorella,Lower,0.017940547679168327,0.4881360343112885,0.34749039899273715,-0.26153468307651984,9.577107995346517e-09,0.9999998719725042,8.751041538010929e-13,0.0028738940478289176
0.04,Chlorella,Mean,0.017940547679168334,0.49188995897041654,0.3529976517872514,-0.23677698392612978,6.628817648402604e-08,0.9999999336606399,5.118384473276951e-11,0.0030157690796582554
0.04,Chlorella,Upper,0.017940547679168334,0.4961696125473704,0.35840985890946403,-0.21459604851039807,1.3849437471385986e-07,0.9999999939604209,1.4651615049048847e-10,0.0031927603542344354
0.07,Brachionus,Lower,9.230805354131196,-0.35253669591675274,0.18010665115928487,-0.11040627479524974,0.0015572441946514386,0.5416540628671201,0.06430639983932858,0.5207608903965941
0.07,Brachionus,Mean,9.230805354131196,-0.3495164475355823,0.18469014137520617,-0.061353199785491384,0.006627680252578129,0.759018031084061,0.23435428866336103,0.5755128273148752
0.07,Brachionus,Upper,9.230805354131201,-0.3464317485590731,0.18897939679928846,-0.02185638475617758,0.01189047187247573,0.9341274605263344,0.4539675269915736,0.6294037826340533
0.07,Chlorella,Lower,0.02130052182703893,0.006392934405402958,-0.0712760135444395,0.04546790999460153,0.030037767587436807,0.2391743281534508,0.20020985914214595,0.0017860623100132682
0.07,Chlorella,Mean,0.021300521827038933,0.011780780019267738,-0.05575550775980751,0.07566583022323894,0.11100209848387028,0.4909812958346742,0.39801660568145547,0.001913111929243326
0.07,Chlorella,Upper,0.021300521827038937,0.016714235958075745,-0.04232845954291898,0.10855135250084229,0.20200272609277345,0.7276113374400356,0.6013892187690707,0.002036970222819323
0.12,Brachionus,Lower,8.094829917667695,0.07656552200487107,0.04388311352025583,0.09412496660309311,0.2175756250033584,0.1092865573801956,0.009554118055620396,0.577444936139579
0.12,Brachionus,Mean,8.094829917667697,0.08989181918358027,0.05619801306742952,0.11025600899218187,0.5142487784258277,0.3534312502560697,0.13231997131810252,0.6708483862425417
0.12,Brachionus,Upper,8.094829917667699,0.10577151454430717,0.06953324670987271,0.12971217063254506,0.8138617205459979,0.6366494041397114,0.3065207739064541,0.7662489605300871
0.12,Chlorella,Lower,0.023924541460464438,0.49506261496971704,0.3223180842448557,0.055336461907944966,0.359767898962622,0.08810029873848568,1.8154360525071645e-05,0.0017641270527111931
0.12,Chlorella,Mean,0.02392454146046444,0.5017884704036095,0.33016820797351815,0.08783325488309367,0.6426358595796211,0.35719409236461525,0.00017004805576362365,0.002457029179921072
0.12,Chlorella,Upper,0.023924541460464445,0.5064477835038745,0.3377628977992657,0.1187857577521827,0.9103002102518496,0.6338591500791891,0.00038383735740106647,0.003126314839611549
0.32,Brachionus,Lower,29.73389118594065,-0.05951017149408055,0.012615975832647223,-0.24612018228637836,0.026194264026546173,0.0002656118751599378,0.5212298078984796,1.7669426627996758
0.32,Brachionus,Mean,29.73389118594066,-0.053070916650817576,0.0158168595161956,-0.23465372966451925,0.24085513327507155,0.0381644463371229,0.7209804203878054,2.3130454237372926
0.32,Brachionus,Upper,29.73389118594066,-0.042307406887255795,0.018786971538136864,-0.22562650836673567,0.4645168745861535,0.10157637035914964,0.9061037185410177,2.8337918059923126
0.32,Chlorella,Lower,0.0178783967794378,0.2917004840480476,-0.005166161129099269,-0.07579144647314244,3.1527705591282725e-09,0.48241126399619366,3.1923729290919085e-09,0.002160295014322431
0.32,Chlorella,Mean,0.017878396779437804,0.29403895109201095,-0.0024083601615754427,-0.05881706888643821,0.15058422466431737,0.7412056290680692,0.10821014626761345,0.002567565577366946
0.32,Chlorella,Upper,0.017878396779437804,0.29755513005194145,0.0010248751394235029,-0.04605828188518039,0.3404224367623606,0.9999999937238147,0.2903198873446759,0.0029667611826632483
0.64,Brachionus,Lower,13.156144655369374,0.722477583518127,0.7062927351102077,0.126764852204288,0.20035840381608583,0.19999385222327543,2.018794405979341e-16,2.676848871781594
0.64,Brachionus,Mean,13.156144655369378,0.7249336927884149,0.7096911743548616,0.15804961861709504,0.5001822759479099,0.4998177240511715,9.18768099891999e-13,3.2925097889659454
0.64,Brachionus,Upper,13.156144655369378,0.7288869375952653,0.7133059915337931,0.1852429081412342,0.7998973075029289,0.7995519503699592,2.754637218483741e-12,3.9633423397362315
0.64,Chlorella,Lower,0.353112315487761,0.8214275848979089,0.7368151445942497,0.03655505892594108,1.0003711247156537e-11,0.5000000000025612,1.5611783172330675e-18,0.06156352805201113
0.64,Chlorella,Mean,0.3531123154877611,0.8245563105827625,0.7427259158596131,0.12547696519225054,0.19999999941028895,0.7999999999842039,6.055071791383079e-10,0.0857406714203657
0.64,Chlorella,Upper,0.3531123154877611,0.8283648701064702,0.751137746056707,0.2427887155611424,0.49999999699101494,0.9999999999901649,1.8165215255041578e-09,0.10618857461249817
0.67,Brachionus,Lower,15.059122291664133,0.5068683337678681,0.40580551241247015,0.0581795406928678,0.9999882622944168,2.8921420285738364e-09,9.75073584595818e-07,2.1252312297350864
0.67,Brachionus,Mean,15.059122291664139,0.5097369222129713,0.41205966338643707,0.08480092294679656,0.9999948329248788,3.602356922766306e-08,5.131051551946872e-06,2.430661183987441
0.67,Brachionus,Upper,15.059122291664139,0.5120084245123359,0.4192039897509138,0.11044257686078046,0.9999990667100184,9.247050285960343e-08,1.1719692182647238e-05,2.7444203849039743
0.67,Chlorella,Lower,0.26159239617758845,0.6761469569747817,0.604082933486708,0.0836145221086913,0.1000293826729967,0.2999866505915502,1.4038648818603773e-16,0.047176690651980095
0.67,Chlorella,Mean,0.2615923961775885,0.6800340363289517,0.616162021321621,0.10180054963739878,0.40001614265767815,0.5999838520192187,5.323103306492813e-09,0.05430262120135472
0.67,Chlorella,Upper,0.2615923961775886,0.6824736477014883,0.6235484139391673,0.11840133775904876,0.7000131692463665,0.8999736320013076,1.595871964956481e-08,0.061481261505657664
0.69,Brachionus,Lower,19.51776567591937,0.33341224899000554,0.19631428166152715,-0.2705256294305075,0.20145236462141525,0.10502759005565247,0.009583609740431312,2.9973342110392003
0.69,Brachionus,Mean,19.517765675919378,0.34903723223789374,0.211912692065838,-0.2316003200390389,0.4501483895100374,0.4037850714756751,0.1460665390142876,3.2754486375875445
0.69,Brachionus,Upper,19.517765675919378,0.36263059218843446,0.23215777363562035,-0.19213934517369607,0.6975193679212522,0.7021961015999858,0.2866480945105025,3.563226538876609
0.69,Chlorella,Lower,0.6671344874274905,0.8878862192307126,0.6870985249317241,-0.5356532731292167,2.5939410278143854e-25,0.9999999999999997,5.2428341949908136e-27,0.19231339950924162
0.69,Chlorella,Mean,0.6671344874274905,0.8903980284069322,0.7045474658667267,-0.48526709321516925,1.2474342281808948e-16,0.9999999999999998,1.7259824353425994e-21,0.23055713783663964
0.69,Chlorella,Upper,0.6671344874274908,0.8926358853219061,0.7205233621041452,-0.43393182888951803,3.2049116397342646e-16,1.0,5.0906280803598116e-21,0.2622879230769645
0.95,Brachionus,Lower,3.684841306192028,0.8136155723284839,0.6781645061496259,-0.6146800737564746,5.2043703640378515e-14,0.6999949179020035,8.081934548232999e-17,1.025870382184476
0.95,Brachionus,Mean,3.684841306192029,0.8188833910826185,0.6928628781212067,-0.5629005761797019,0.10000257122172804,0.8999974287779715,3.00438080385604e-13,1.2482008483181377
0.95,Brachionus,Upper,3.684841306192029,0.8242903312692063,0.7068005190463743,-0.5095827967265967,0.30000245070234044,0.999999999999943,9.009652114909823e-13,1.4591733296398162
0.95,Chlorella,Lower,0.6370714643795157,0.8326536750624377,0.5451139492581007,-0.39988786550220423,5.668317333757639e-18,0.9999999999987248,4.7949604556614165e-23,0.1547653208952321
0.95,Chlorella,Mean,0.6370714643795157,0.8380042015465763,0.5591024917312126,-0.29883615196006164,4.25012706146911e-13,0.9999999999995749,4.1978158550741764e-17,0.19542344529441635
0.95,Chlorella,Upper,0.6370714643795158,0.8452316533531055,0.5776082291616679,-0.19633020880854002,1.2749920789532327e-12,1.0,1.2593360399487288e-16,0.22993908822887618
1.17,Brachionus,Lower,3.6916202612016757,0.4873674612669664,0.22915587604942472,-0.07904944015914304,0.10130700086281033,0.3211089217491578,2.1554339897970175e-10,0.4990274491741863
1.17,Brachionus,Mean,3.6916202612016766,0.4948364935663515,0.24544118259529238,-0.039624539197846496,0.3797103926825013,0.6202889259348648,6.813826339454916e-07,0.6141217604879287
1.17,Brachionus,Upper,3.6916202612016766,0.5028079402270239,0.260291561020573,0.007660084221180164,0.6788270769735822,0.8987148679845397,1.7029458331543779e-06,0.7339098000271239
1.17,Chlorella,Lower,0.6590761801072615,0.2818701659369488,-0.005834466270202514,-0.2469738159599495,0.7388390313195864,2.9930207713906574e-05,0.0386337193397202,0.059069137187284536
1.17,Chlorella,Mean,0.6590761801072617,0.2947908534092292,0.015456027396482075,-0.21759035278675148,0.8615054214793691,0.0005499808516789868,0.13794459766895198,0.08669019790612584
1.17,Chlorella,Upper,0.6590761801072618,0.3158955319336239,0.0307613062874618,-0.18615562579530673,0.963250054342855,0.001508180891262526,0.2623557330474812,0.11327621548598188
1.24,Brachionus,Lower,2.554987468314924,0.18088223781448837,0.1593023832595425,-0.031051162607306972,0.785675324797513,5.525758425020278e-09,0.00024034841433947523,0.20748370657503432
1.24,Brachionus,Mean,2.554987468314924,0.18316727274183925,0.16327475226025018,-0.01756729331959387,0.9282312723169778,0.00016138624503834312,0.07160734143798371,0.24466745885924818
1.24,Brachionus,Upper,2.5549874683149243,0.18590483569367094,0.16861620258677548,-0.005764328634666041,0.9998053276650429,0.0004841363150567081,0.2134812740841829,0.2762758104921222
1.24,Chlorella,Lower,0.1385308691571717,0.4494717319578367,0.24826492244541987,-0.24335971936301343,0.5975072729739893,1.2050231629666802e-09,5.037462103477463e-07,0.0155469609336664
1.24,Chlorella,Mean,0.13853086915717172,0.45247195743890584,0.25381071082413853,-0.22053810089269438,0.8003810825397855,0.1995878690516995,3.1048408515077816e-05,0.020269264959621357
1.24,Chlorella,Upper,0.13853086915717178,0.4561681171577902,0.2600036720922375,-0.19395468233059926,0.9999830462725414,0.49876361282765397,7.607847220785039e-05,0.02538136070021853
1.37,Brachionus,Lower,0.39269214374875405,0.3038576868882695,0.23648873685038027,-0.1216192179923063,0.6562393215543179,0.0006884684542404654,0.0002640334487134709,0.03452718763207709
1.37,Brachionus,Mean,0.3926921437487541,0.31337810674802236,0.2409651842963129,-0.08906240016413156,0.8690040388101359,0.1026452150440744,0.028350746145789668,0.03868583709056237
1.37,Brachionus,Upper,0.39269214374875416,0.32034421030652854,0.2458797259668137,-0.060684419202575536,0.9853910452378892,0.3031167444934104,0.07008149182459053,0.04314909949506757
1.37,Chlorella,Lower,0.1393395976936314,0.2964600742447343,0.30833362442264545,-0.3328442663940071,2.7733618553702606e-05,0.39999068993436476,1.6186982083350508e-07,0.017482081677169362
1.37,Chlorella,Mean,0.1393395976936314,0.3021160107423389,0.32112847094521174,-0.31602308892430675,0.28921141875390105,0.6999906800783244,0.010797901167774474,0.024482468227681554
1.37,Chlorella,Upper,0.13933959769363144,0.30748211469320824,0.32927001522379323,-0.2912811718225122,0.5784045795423728,0.9999629312415885,0.024871889958575557,0.030860534467529833
