Dilution rate,Species,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,1,2.5645755902360436,0.5217609695105944,0.3698368647708489,-0.10433318785898622,0.999188645025897,0.0008113459062192797,9.067883713083385e-09,0.22722997822004776
0.04,Brachionus,2,2.80443804828368,0.4756872484419344,0.4217563943650446,-0.22281809132542438,0.8362900616580372,0.1637099383419355,2.734054570668312e-14,0.3156211504151711
0.04,Brachionus,3,2.6624223683330226,0.2474091941334424,0.30046132747165105,0.1568732424703446,0.9896465192108992,0.0012341606564777888,0.009119320132623135,0.13950088873444677
0.04,Brachionus,4,2.357039648181059,0.2802139083636211,0.31146517401169854,-0.051831729623508724,5.243295047398754e-16,0.9999999999999996,1.136872660805954e-19,0.3390715291701358
0.04,Brachionus,5,2.6604086996775647,0.36767600321919036,0.32598871638846927,0.07694533166789358,0.025806826359444264,0.974193163267954,1.0372601966853983e-08,0.23968556648709072
0.04,Brachionus,6,2.459447930970421,0.25777262209756024,0.22060226437434044,0.04128189141338245,9.812364294233766e-05,0.9999018763278533,2.920449328774458e-11,0.24045214380528598
0.04,Brachionus,7,2.6815519178986817,0.45267550771919,0.37054407344497736,-0.23521549976823025,5.479645819118838e-29,1.0,2.6404244232044246e-33,0.5930632243168168
0.04,Brachionus,8,2.7308399495420543,0.4725548591905714,0.3944895362917944,-0.2086732342706829,1.318704140136607e-13,0.9999999999998681,2.381196065738995e-22,0.2781296033665357
0.04,Brachionus,9,2.733065142963919,0.37827593390658176,0.3521510765251326,-0.12294899859559112,0.23427150440446237,0.7656343740815268,9.412151401094916e-05,0.32288863801013534
0.04,Brachionus,10,2.6118086944003505,0.4131065030108979,0.28954679028224495,-0.07470907502798343,0.011304083751640277,0.9886959162301393,1.8220254035429193e-11,0.33088881273295945
0.04,Brachionus,11,2.728172050065491,0.3105419438305755,0.32707791492427885,-0.050051233240225604,0.0006776485709084541,0.9993223514290682,2.3191954091168344e-14,0.2644444592513561
0.04,Brachionus,12,2.5362767858563022,0.32903853728935745,0.4024156737212037,-0.1986450998209252,1.587008067043143e-16,0.9999999999999998,9.030445625004664e-21,0.406823348943756
0.04,Brachionus,13,2.7495340197047247,0.44427661987756395,0.3704645729324962,-0.11572539972520313,0.570781719908995,0.4256211831905062,0.0035970969004988683,0.21005330296185828
0.04,Brachionus,14,2.7813503610532355,0.5805991092934453,0.4355788137379488,-0.4425490019192474,1.1086172120860647e-25,1.0,2.2365005269022894e-33,0.533496055880209
0.04,Brachionus,15,2.7349045406779706,0.27492737289728947,0.32289561103899295,0.18571713944155568,0.9833021001225755,0.015665241212613,0.0010326586648114811,0.1987888788539938
0.04,Brachionus,16,2.301333972471358,0.3550755798532754,0.31767635128739985,-0.2756516986475452,0.004429741299879764,0.9955701886056197,7.009450054975141e-08,0.24036939261742996
0.04,Brachionus,17,2.374883074081786,0.20045053041934416,0.29431708664584394,0.10085566738528619,0.19556654074192034,0.09589060774177942,0.7085428515163003,0.15589064616640966
0.04,Brachionus,18,2.4524920385187285,0.25212720520876636,0.23658494506351885,0.10350157881134119,2.1098500824913998e-10,0.999999999789015,3.4494073192767485e-19,0.3578932130685573
0.04,Brachionus,19,2.3010507878260444,0.38584835727886724,0.32921119124487686,-0.3469706686511943,4.1583427841266134e-14,0.9999999999999585,2.432872482812642e-17,0.3815105275503094
0.04,Brachionus,20,2.6415991499201317,0.18452334667239367,0.3211680598732698,0.01343825942611739,7.74606303873493e-05,0.9999225374631334,1.906479245861707e-09,0.23705700934985255
0.04,Brachionus,21,2.697060113656791,0.33951953657290135,0.34095241781786206,-0.11138417568764164,3.948186991953221e-15,0.999999999999996,4.49462478588641e-17,0.3864514983575042
0.04,Brachionus,22,2.736950489420878,0.3638983261450334,0.3206468286921297,0.0601338324231847,0.4039740534777488,0.0710478223871493,0.524978124135102,0.1865985340980495
0.04,Brachionus,23,1.9802103343567168,0.3090175773702667,0.24168275403690329,-0.13605110785387575,0.9610707839148469,0.0389292157990126,2.861405257506954e-10,0.17772090926853568
0.04,Brachionus,24,2.548694438456543,0.3914371661644569,0.34818364450820655,-0.18682225599835042,1.7512158338714258e-17,1.0,1.2323679702828028e-22,0.3783842870769379
0.04,Brachionus,25,2.581676556008217,0.3664889724397917,0.40249215451841996,0.07018185567286024,0.9604137197774427,0.03958621079674266,6.942581468282497e-08,0.30646419748536374
0.04,Brachionus,26,2.8213750094244285,0.30166266858189944,0.26871033630223745,-0.32646754260299016,0.7780609571359753,0.026455663762129336,0.19548337910189525,0.1604302546617163
0.04,Brachionus,27,2.662733278976816,0.2755652720404627,0.34418532552026554,0.1514468842452961,4.617731824832478e-09,0.9999999953822682,7.433016755043249e-17,0.3615224608480074
0.04,Brachionus,28,2.923037470738418,0.4405666201780457,0.31494394440956663,-0.11349363012864266,0.0021048482946314042,0.9978951515336689,1.7169982024052927e-10,0.2826047415403895
0.04,Brachionus,29,3.02251713418728,0.4118055459928556,0.28445367406266187,-0.06614081254507154,2.1982287042488343e-22,1.0,3.6891491170137983e-25,0.4114614255185754
0.04,Brachionus,30,2.5141543942221984,0.25706003500444535,0.262417323476576,0.1318209717529943,1.1760542536185434e-05,0.9999882343835266,5.0739372018769194e-09,0.2232923723804619
0.04,Brachionus,31,2.8087592174434155,0.4529720660008221,0.34422443156009397,-0.27903354746041725,1.5875210760135785e-12,0.9999999999984122,1.9246227452783165e-16,0.36603484000128594
0.04,Brachionus,32,2.4725507805091547,0.25678882325549124,0.3132307053624758,-0.023443119913876213,0.0015774770913737312,0.9984216678016513,8.551069749623515e-07,0.18800808930345247
0.04,Brachionus,33,2.3387132575589216,0.2611007102327935,0.2666297604671251,0.06718601217753774,0.3085235061546509,0.08242575700340586,0.6090507368419432,0.18995586768393846
0.04,Brachionus,34,2.6482913770015357,0.43456500115162533,0.3949367372411074,-0.3065556069416459,4.971909014015397e-26,1.0,3.951698102526625e-31,0.4556905650291593
