Dilution rate,Species,Sample,Frequency,Empirical
0.04,Brachionus,1,-3.141592653589793,0.11736877616146374
0.04,Brachionus,1,-2.9845130209103035,0.04015915752349797
0.04,Brachionus,1,-2.827433388230814,0.03346603160449516
0.04,Brachionus,1,-2.6703537555513246,0.050444099039878974
0.04,Brachionus,1,-2.5132741228718345,0.023761220397832145
0.04,Brachionus,1,-2.356194490192345,0.04405478380637792
0.04,Brachionus,1,-2.199114857512855,0.1423835019874978
0.04,Brachionus,1,-2.0420352248333655,0.12040855426823956
0.04,Brachionus,1,-1.884955592153876,0.030704883778629854
0.04,Brachionus,1,-1.7278759594743864,0.017898240636526338
0.04,Brachionus,1,-1.5707963267948966,0.025473254099559237
0.04,Brachionus,1,-1.413716694115407,0.01209165381296478
0.04,Brachionus,1,-1.2566370614359172,0.04848287800633259
0.04,Brachionus,1,-1.0995574287564276,0.0729050783137103
0.04,Brachionus,1,-0.942477796076938,0.09122007622034804
0.04,Brachionus,1,-0.7853981633974483,0.04129580178962735
0.04,Brachionus,1,-0.6283185307179586,0.09277870584588255
0.04,Brachionus,1,-0.471238898038469,0.1185813025890592
0.04,Brachionus,1,-0.3141592653589793,0.3580980955754105
0.04,Brachionus,1,-0.15707963267948966,0.33659433294739444
0.04,Brachionus,1,0.0,0.10185989428500337
0.04,Brachionus,1,0.15707963267948966,0.33659433294739444
0.04,Brachionus,1,0.3141592653589793,0.3580980955754105
0.04,Brachionus,1,0.471238898038469,0.1185813025890592
0.04,Brachionus,1,0.6283185307179586,0.09277870584588255
0.04,Brachionus,1,0.7853981633974483,0.04129580178962735
0.04,Brachionus,1,0.942477796076938,0.09122007622034804
0.04,Brachionus,1,1.0995574287564276,0.0729050783137103
0.04,Brachionus,1,1.2566370614359172,0.04848287800633259
0.04,Brachionus,1,1.413716694115407,0.01209165381296478
0.04,Brachionus,1,1.5707963267948966,0.025473254099559237
0.04,Brachionus,1,1.7278759594743864,0.017898240636526338
0.04,Brachionus,1,1.884955592153876,0.030704883778629854
0.04,Brachionus,1,2.0420352248333655,0.12040855426823956
0.04,Brachionus,1,2.199114857512855,0.1423835019874978
0.04,Brachionus,1,2.356194490192345,0.04405478380637792
0.04,Brachionus,1,2.5132741228718345,0.023761220397832145
