Delta,Variance,Coefficient of variation,Lag-1 AC,Lag-2 AC,Lag-10 AC,Smax,AIC fold,AIC hopf,AIC null
0.04,2.6282205161679824,0.1969490067092845,0.40933627791797395,0.4395798520658884,-0.19886658395188064,0.42420027212813755,1.0367191899656794e-05,0.9999896328031698,4.930711562496985e-12
0.07,10.072319284934741,0.16107748215966927,-0.26635966990326476,0.2628375326701836,-0.19091304379971358,0.49315897649820006,5.8561198002069314e-05,0.9435236550241701,0.05641778377782792
0.12,8.093060729107368,0.27506107109174716,0.0822525428535948,0.06802820976872226,0.13146722041610126,0.5802169908723376,0.798206031290603,0.02405439745392909,0.17773957125546794
0.32,29.580006633177884,0.16687458731827645,-0.05303937672616151,0.05076961147389718,-0.218644004699272,1.3623918766404552,5.25998501008173e-06,0.9948798398357046,0.00511490017928517
0.64,12.956435695968555,0.5733033783266975,0.7204100248579912,0.7074802236742143,0.17587475118628193,5.0990011317492785,6.276082463219256e-23,1.0,3.409530055684232e-27
0.67,15.126168613106245,0.3645883420932286,0.5141034179091596,0.41862852790413446,0.11512270011345821,2.6315332458794023,0.9861237427159891,0.01387625726265927,2.1351600545481304e-11
0.69,19.595466436861116,0.40846905869844563,0.34595545596673327,0.20439466211643803,-0.23211164059554548,3.2326655341588526,0.02320169029565936,0.9674463271415825,0.009351982562758121
0.95,4.291652784734014,0.6576914735271169,0.8415081660318386,0.7230261454168547,-0.5606437345807834,1.4135059558013732,3.10075974250016e-29,1.0,4.88467749559661e-32
1.17,4.556063312666501,0.4092654907911624,0.6518345126858294,0.4718894548973919,-0.024504218922116884,1.271888717991513,3.198174468292057e-07,0.9999996801824412,1.119319978454061e-13
1.24,2.5946761543634054,0.21775424653014772,0.18448418323675345,0.16952858070622606,0.0044183328002511705,0.2754637524599328,0.9999999999998486,1.8059408132330347e-14,1.3344218638071087e-13
1.37,0.4353225982882783,0.2271851076166296,0.3939058363134811,0.3166981186913736,-0.012793697991585268,0.03283294911146072,0.9994897590697459,0.0003247869042873816,0.00018545402596676646
