Delta,Frequency,Empirical
0.04,-2.5132741228718345,0.000473286389264378
0.04,-2.356194490192345,8.564324468256697e-05
0.04,-2.199114857512855,0.00041372300124456024
0.04,-2.0420352248333655,0.0006102223028723269
0.04,-1.884955592153876,0.00016650846567014662
0.04,-1.7278759594743864,7.715278997884354e-05
0.04,-1.5707963267948966,0.00017476265902057936
0.04,-1.413716694115407,0.00025358551239245216
0.04,-1.2566370614359172,0.0002718511792535894
0.04,-1.0995574287564276,0.00026108827341756916
0.04,-0.942477796076938,0.0013590157781638269
0.04,-0.7853981633974483,0.0008918888408438099
0.04,-0.6283185307179586,0.0002621098827245278
0.04,-0.471238898038469,0.002599722957325947
0.04,-0.3141592653589793,0.002654574716718776
0.04,-0.15707963267948966,0.00045175118493375924
0.04,0.0,0.0001228174907071824
0.04,0.15707963267948966,0.00045175118493375924
0.04,0.3141592653589793,0.002654574716718776
0.04,0.471238898038469,0.002599722957325947
0.04,0.6283185307179586,0.0002621098827245278
0.04,0.7853981633974483,0.0008918888408438099
0.04,0.942477796076938,0.0013590157781638269
0.04,1.0995574287564276,0.00026108827341756916
0.04,1.2566370614359172,0.0002718511792535894
0.04,1.413716694115407,0.00025358551239245216
0.04,1.5707963267948966,0.00017476265902057936
0.04,1.7278759594743864,7.715278997884354e-05
0.04,1.884955592153876,0.00016650846567014662
0.04,2.0420352248333655,0.0006102223028723269
0.04,2.199114857512855,0.00041372300124456024
0.04,2.356194490192345,8.564324468256697e-05
0.04,2.5132741228718345,0.000473286389264378
0.07,-2.5132741228718345,0.0006911167895537869
0.07,-2.356194490192345,0.0001467807587657249
0.07,-2.199114857512855,8.911090318309391e-05
0.07,-2.0420352248333655,0.0004932734788136724
0.07,-1.884955592153876,0.0018846316238229845
0.07,-1.7278759594743864,0.0015656526046046284
0.07,-1.5707963267948966,0.0001213628346502762
0.07,-1.413716694115407,0.0008193027746151433
0.07,-1.2566370614359172,0.0015750304268023134
0.07,-1.0995574287564276,0.0015260194725706193
0.07,-0.942477796076938,0.0022581479150581667
0.07,-0.7853981633974483,0.0010414787914325198
0.07,-0.6283185307179586,0.0003046342630791927
0.07,-0.471238898038469,0.0011547116872933161
0.07,-0.3141592653589793,0.0009811489458100573
0.07,-0.15707963267948966,0.0002995085889811278
0.07,0.0,0.00013118281598268982
0.07,0.15707963267948966,0.0002995085889811278
0.07,0.3141592653589793,0.0009811489458100573
0.07,0.471238898038469,0.0011547116872933161
0.07,0.6283185307179586,0.0003046342630791927
0.07,0.7853981633974483,0.0010414787914325198
0.07,0.942477796076938,0.0022581479150581667
0.07,1.0995574287564276,0.0015260194725706193
0.07,1.2566370614359172,0.0015750304268023134
0.07,1.413716694115407,0.0008193027746151433
0.07,1.5707963267948966,0.0001213628346502762
0.07,1.7278759594743864,0.0015656526046046284
0.07,1.884955592153876,0.0018846316238229845
0.07,2.0420352248333655,0.0004932734788136724
0.07,2.199114857512855,8.911090318309391e-05
0.07,2.356194490192345,0.0001467807587657249
0.07,2.5132741228718345,0.0006911167895537869
0.12,-2.5132741228718345,0.00044253777487168186
0.12,-2.356194490192345,0.0005633143519067921
0.12,-2.199114857512855,0.00023271885666423416
0.12,-2.0420352248333655,9.068182358911667e-05
0.12,-1.884955592153876,0.000589187323090708
0.12,-1.7278759594743864,0.00029758841130519774
0.12,-1.5707963267948966,0.00042572992374965507
0.12,-1.413716694115407,0.0005879145679054229
0.12,-1.2566370614359172,0.0009771920020745653
