Dilution rate,Species,Sample,Frequency,Empirical
0.04,Brachionus,1,-3.141592653589793,0.07415886445660058
0.04,Brachionus,1,-2.9845130209103035,0.03811187164042415
0.04,Brachionus,1,-2.827433388230814,0.03382538549108732
0.04,Brachionus,1,-2.6703537555513246,0.06263221991994976
0.04,Brachionus,1,-2.5132741228718345,0.025317795576613872
0.04,Brachionus,1,-2.356194490192345,0.08550243696145415
0.04,Brachionus,1,-2.199114857512855,0.1439178777216794
0.04,Brachionus,1,-2.0420352248333655,0.0702044637287675
0.04,Brachionus,1,-1.884955592153876,0.09593141232719438
0.04,Brachionus,1,-1.7278759594743864,0.07541735710710497
0.04,Brachionus,1,-1.5707963267948966,0.03824770211542307
0.04,Brachionus,1,-1.413716694115407,0.015342857528500025
0.04,Brachionus,1,-1.2566370614359172,0.011465192488335814
0.04,Brachionus,1,-1.0995574287564276,0.026025666648281553
0.04,Brachionus,1,-0.942477796076938,0.04015808774134489
0.04,Brachionus,1,-0.7853981633974483,0.1290596570528384
0.04,Brachionus,1,-0.6283185307179586,0.14693661141822686
0.04,Brachionus,1,-0.471238898038469,0.3119875001972358
0.04,Brachionus,1,-0.3141592653589793,0.5065942360829102
0.04,Brachionus,1,-0.15707963267948966,0.09343733700892998
0.04,Brachionus,1,0.0,0.04843553634000386
0.04,Brachionus,1,0.15707963267948966,0.09343733700892998
0.04,Brachionus,1,0.3141592653589793,0.5065942360829102
0.04,Brachionus,1,0.471238898038469,0.3119875001972358
0.04,Brachionus,1,0.6283185307179586,0.14693661141822686
0.04,Brachionus,1,0.7853981633974483,0.1290596570528384
0.04,Brachionus,1,0.942477796076938,0.04015808774134489
0.04,Brachionus,1,1.0995574287564276,0.026025666648281553
0.04,Brachionus,1,1.2566370614359172,0.011465192488335814
0.04,Brachionus,1,1.413716694115407,0.015342857528500025
0.04,Brachionus,1,1.5707963267948966,0.03824770211542307
0.04,Brachionus,1,1.7278759594743864,0.07541735710710497
0.04,Brachionus,1,1.884955592153876,0.09593141232719438
0.04,Brachionus,1,2.0420352248333655,0.0702044637287675
0.04,Brachionus,1,2.199114857512855,0.1439178777216794
0.04,Brachionus,1,2.356194490192345,0.08550243696145415
0.04,Brachionus,1,2.5132741228718345,0.025317795576613872
0.04,Brachionus,1,2.6703537555513246,0.06263221991994976
0.04,Brachionus,1,2.827433388230814,0.03382538549108732
0.04,Brachionus,1,2.9845130209103035,0.03811187164042415
0.04,Brachionus,1,3.141592653589793,0.07415886445660058
0.04,Brachionus,2,-3.141592653589793,0.16654049251675948
0.04,Brachionus,2,-2.9845130209103035,0.07562983094019297
0.04,Brachionus,2,-2.827433388230814,0.03937062179844752
0.04,Brachionus,2,-2.6703537555513246,0.05347137803504231
0.04,Brachionus,2,-2.5132741228718345,0.13516026659012975
0.04,Brachionus,2,-2.356194490192345,0.19166823156835036
0.04,Brachionus,2,-2.199114857512855,0.11338264855781917
0.04,Brachionus,2,-2.0420352248333655,0.03316201202738615
0.04,Brachionus,2,-1.884955592153876,0.0783325308106551
0.04,Brachionus,2,-1.7278759594743864,0.06975188996097158
0.04,Brachionus,2,-1.5707963267948966,0.03598818955209591
0.04,Brachionus,2,-1.413716694115407,0.016491842121824567
0.04,Brachionus,2,-1.2566370614359172,0.023967322707920583
0.04,Brachionus,2,-1.0995574287564276,0.021286412878216476
