Realisation number,Variable,index,Lag-3 AC,Lag-6 AC,Smax,Standard deviation,Lag-1 AC,Coefficient of variation,Variance,Skewness,Kurtosis
1,Chlorella,0,-0.5193977293424807,0.23878331613138246,-0.7309941520467835,-0.3582660433489163,-0.400643555339688,-0.28941776455588614,-0.3582660433489163,-0.6685082872928177,0.7266711189363124
1,Brachionus,0,-0.5306903041709672,-0.0028535000910691524,-0.7076023391812866,-0.35377329852467976,-0.3864367676522373,-0.41375751320502707,-0.35377329852467976,0.053609374051363005,0.5982029020703055
2,Chlorella,0,0.18887742092161985,-0.026531479570153605,-0.543859649122807,-0.779248375933459,-0.0016392447331673853,-0.779248375933459,-0.779248375933459,0.5117479205876996,-0.4458138546536337
2,Brachionus,0,0.19652722967640096,0.37113715014267507,-0.38011695906432746,-0.485884281464392,-0.03527411814704633,-0.5101693886224274,-0.485884281464392,-0.510655090765588,-0.5475684536458018
3,Chlorella,0,-0.24752595470827518,-0.17017788840993262,-0.5789473684210525,-0.7677129500333921,-0.2555400400704268,-0.7594560135996601,-0.7677129500333921,0.17042073948151298,0.33665229797826485
3,Brachionus,0,-0.1995628680711554,-0.2548114868556858,-0.5672514619883041,-0.6733653087244248,-0.27897516847793097,-0.6687511383643981,-0.6733653087244248,-0.1104365248011657,0.054823629409264774
4,Chlorella,0,0.03843118207759092,0.8326756116811367,-0.3567251461988304,-0.2923319774148504,-0.3615445328152511,-0.2946390625948637,-0.2923319774148504,-0.4052577256997147,-0.475563110922227
4,Brachionus,0,0.8321899095379759,0.9090522736931578,0.06432748538011696,-0.10825086515694252,0.10120818408111228,-0.10727946087062111,-0.10825086515694252,0.5694250500880336,0.11832918462752719
5,Chlorella,0,-0.08202294942626435,0.775848460931334,-0.5789473684210525,-0.382794001578532,-0.4256572157124644,-0.5025195798676463,-0.382794001578532,0.5499969643616054,0.811668993989436
5,Brachionus,0,0.37939408657640705,0.7673486734260215,-0.23976608187134502,-0.4448424503673123,-0.06793758727460386,-0.39991500212494696,-0.4448424503673123,-0.7794912270050393,0.7726913970007894
6,Chlorella,0,0.32924534029506414,-0.6125311152935463,0.18128654970760236,0.47811304717382075,0.5285046445267441,0.4564993018031693,0.47811304717382075,-0.15597110072248194,0.3558375326331128
6,Brachionus,0,-0.04863092708396576,-0.6547872017485278,0.14619883040935672,0.48867706878756606,0.398579321231255,0.520247708093012,0.48867706878756606,0.25760427417885984,0.36555157549632694
7,Chlorella,0,-0.7452492259122094,-0.5272903891688423,-0.4502923976608187,-0.18414182502580295,-0.1297431849918038,-0.2100054641491106,-0.18414182502580295,0.32584542529293914,0.41897881124400466
7,Brachionus,0,-0.8348612713253598,-0.44824236536943723,-0.6608187134502924,-0.5348187723878332,-0.674822415153907,-0.5129621759456015,-0.5348187723878332,-0.2963390200959262,0.455649323052638
