Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
0.01,0.23066417586429358,0.10021281013669618,0.1304513657275974,0.1062752443310425,0.01129442755762278,0.9971738393758155,0.9910058304150813,0.9697923862642949,1.0701486375958797,0.41152700674602627,-1.3362395712160742,7.825875600223135e-23,1.0,2.6154237501437215e-34,0.0003374910601684908,"{'sigma': 0.015672197907379906, 'lam': -0.26407829726328824}","{'sigma': 0.006800904760929205, 'mu': -0.0654697008252656, 'w0': 0.19343076449530178, 'delta': 1.9521175786962885e-09, 'psi': 0.2}",{'sigma': 0.018068724548114146},0.0006749821203369816
0.02,0.21857742746539946,0.20092076196782216,0.0176566654975773,0.013734450688877516,0.00018863513572520808,0.9739271985241756,0.9046511299590841,0.6755832658639547,0.06835746606789636,0.2718272966392675,0.4809385287944249,1.3786623752399079e-33,1.0,8.235044431339485e-45,4.111319960135468e-05,"{'sigma': 0.00606624660515759, 'lam': -0.2967688308681491}","{'sigma': 0.002678436060161715, 'mu': -0.06975600001492865, 'w0': 0.206094670274248, 'delta': 1.980866803918957e-09, 'psi': 0.2}",{'sigma': 0.006596000806846675},8.222639920270936e-05
0.03,0.1933796534764379,0.20621703614767437,-0.012837382671236464,0.009362486715180304,8.765615749192768e-05,0.9571620926795231,0.8501355112292062,0.5287125351829561,0.045401218542960496,0.07957638585211621,-0.19426594305041994,1.3222714728292849e-36,1.0,3.487556099471189e-49,1.660750360845144e-05,"{'sigma': 0.004515174591233415, 'lam': -0.33427521899706836}","{'sigma': 0.0019767644530206407, 'mu': -0.07521773320531677, 'w0': 0.22223140460822083, 'delta': 1.2678316174685733e-09, 'psi': 0.2}",{'sigma': 0.004658864140259527},3.321500721690288e-05
0.04,0.20848073854028604,0.21156475580782808,-0.0030840172675420385,0.006048662909084876,3.658632298773911e-05,0.9257438512715281,0.7557998202408115,0.3355207727011513,0.028590139643487326,0.04707607716291532,-0.10566664654572096,1.2739545676243687e-24,1.0,2.1086806715055296e-37,5.109974991002011e-06,"{'sigma': 0.0031756421864734224, 'lam': -0.4110861399824013}","{'sigma': 0.00123901150182526, 'mu': -0.08022628903876905, 'w0': 0.23702922406812582, 'delta': 1.860494869276863e-09, 'psi': 0.2}",{'sigma': 0.0029776045267317338},1.0219949982004021e-05
0.05,0.2141290691973957,0.21705096679402486,-0.0029218975966291694,0.004961282809734259,2.4614327118164663e-05,0.8980335545979473,0.6815153615282946,0.22328884686247064,0.02285768971594489,-0.07172479611030311,-0.13416853601603704,0.00028514762153919145,0.9997148523784608,9.735177280810355e-17,3.1553414510091706e-06,"{'sigma': 0.002782975027680754, 'lam': -0.4809542788993171}","{'sigma': 0.0011046439871138514, 'mu': -0.11437872194388543, 'w0': 0.33793286281871343, 'delta': 3.5812131038426287e-10, 'psi': 0.2}",{'sigma': 0.002420401709972144},6.310682902018341e-06
0.060000000000000005,0.22678511929804784,0.2226306245586061,0.004154494739441739,0.004396451650847321,1.9328787118238134e-05,0.8741426667089941,0.6207392815542226,0.15741422095004795,0.019747788424358405,0.054752480346949815,-0.0994793495378741,3.16841579148751e-08,0.9999999683158421,1.2204994387645624e-19,2.5071963825414223e-06,"{'sigma': 0.0025414903885973253, 'lam': -0.5162787893004408}","{'sigma': 0.000979392779649757, 'mu': -0.11521541075378083, 'w0': 0.34040486663251524, 'delta': 2.912063923332653e-10, 'psi': 0.2}",{'sigma': 0.0021389608637414877},5.014392765082845e-06
0.06999999999999999,0.22882577453404152,0.22827590511367118,0.0005498694203703303,0.003999750669867348,1.59980054211043e-05,0.8252819748977123,0.4841730508466725,-0.038297272626623004,0.017521577001442162,-0.020112399698356088,-0.12942962490820573,7.061889099416438e-10,0.9999999992938111,3.89984924112839e-21,1.7262649505795652e-06,"{'sigma': 0.0026182004311776897, 'lam': -0.6607187234973546}","{'sigma': 0.000916672934812679, 'mu': -0.12550942346635763, 'w0': 0.3708186106111663, 'delta': 1.4817147508949802e-10, 'psi': 0.2}",{'sigma': 0.001938111036180241},3.4525299011591303e-06
0.08,0.23291967230635305,0.23397468958929657,-0.0010550172829435212,0.0038426850332712974,1.4766228264927233e-05,0.803676094771191,0.4354314894147285,-0.0380122201052272,0.01642350063225986,-0.054224029597806506,-0.14210219202199575,0.04550835230552402,0.9544916476944746,1.4116822599526858e-15,1.3653184371170777e-06,"{'sigma': 0.002523523398053078, 'lam': -0.6761474968300538}","{'sigma': 0.0008542332338856706, 'mu': -0.12732316782812125, 'w0': 0.3761773351237912, 'delta': 2.2207673477936396e-09, 'psi': 0.2}",{'sigma': 0.0018613305665499003},2.7306368742341554e-06
0.09,0.24183207281165944,0.23975495455974244,0.002077118251917004,0.003544386331039601,1.2562674463660365e-05,0.7252979394452372,0.23075822331648732,-0.19192070015374704,0.01478337947296372,0.13057007872074752,0.15162390980101487,0.9986260785550953,0.0013739214435490809,1.3553840621452168e-12,8.836796757971092e-07,"{'sigma': 0.0027944517245315622, 'lam': -0.9314090101151233}","{'sigma': 0.0009566457730159073, 'mu': -0.18637678628236265, 'w0': 0.550651728035374, 'delta': 3.736033704626607e-11, 'psi': 0.2}",{'sigma': 0.0017203239384283194},1.7673593515942184e-06
0.09999999999999999,0.24390422463570044,0.24557962297511132,-0.001675398339410883,0.003352276217156787,1.1237755836115016e-05,0.6605126856378796,0.05765135010709573,-0.2518788432711515,0.013650467907561808,0.007829076955317352,0.07763611509738079,0.002816728824178394,0.9971832711574199,1.8401767342976684e-11,8.925478977786358e-07,"{'sigma': 0.0029994840723995557, 'lam': -1.1844219681087134}","{'sigma': 0.0012143947942298006, 'mu': -0.28549516363166494, 'w0': 0.843497778536277, 'delta': 5.929612356680991e-11, 'psi': 0.2}",{'sigma': 0.0015997576432435323},1.1900638637048478e-06
