Variable,Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
Chlorella,0.01,4.613283517285872,3.9725502686159806,0.6407332486698913,1.082975170994904,1.1728352209914414,0.9870509275233097,0.949157051259753,0.806814642814518,0.27261424098216613,0.33054836427023393,-0.5506269809268847,2.155356433238516e-14,0.9999999999999785,3.3346841970929296e-27,0.0,"{'sigma': 0.4126281878695997, 'lam': -0.24790873169838568}","{'sigma': 0.18279752792223047, 'mu': -0.06505614270558602, 'w0': 0.1922089033538618, 'delta': 1.6323582485711086e-09, 'psi': 0.2}",{'sigma': 0.48947250384771473},0.4954821343731154
Brachionus,0.01,0.4192239275549985,0.4285048834711823,-0.00928095591618383,0.134403200752343,0.018064220372474616,0.9777055356338928,0.9332492701307366,0.784047449349108,0.31364190112098844,0.5842121685041496,0.1077736479011134,2.7886747053017332e-14,0.999999999999972,1.8481194730947014e-27,0.0,"{'sigma': 0.051234724255618515, 'lam': -0.2511296302871502}","{'sigma': 0.022773092131309625, 'mu': -0.06566385204871517, 'w0': 0.19400438770463002, 'delta': 3.795727732125442e-09, 'psi': 0.2}",{'sigma': 0.060811503943477466},0.007412272924941758
Chlorella,0.02,4.371548549307989,4.018415239356434,0.3531333099515548,0.2746890137775501,0.07545405429008313,0.9739271985241754,0.9046511299590843,0.6755832658639543,0.06835746606789628,0.2718272966392667,0.48093852879443705,1.378662163590529e-33,1.0,8.235043172392859e-45,0.016445279840541872,"{'sigma': 0.12132494466085235, 'lam': -0.29676887192059853}","{'sigma': 0.05356872827921788, 'mu': -0.06975600658166936, 'w0': 0.20609468845870335, 'delta': 7.638334409421077e-10, 'psi': 0.2}",{'sigma': 0.1319200157953394},0.032890559681083745
Brachionus,0.02,0.7410412848196098,0.7958271888269338,-0.05478590400732397,0.05329729801347955,0.0028406019755376514,0.9172203030878333,0.8173422413889249,0.5775144261471029,0.06697010916473721,0.11487153073843469,0.3123413408639371,1.9732730661078094e-30,1.0,2.441812320224715e-43,0.0005565435309703376,"{'sigma': 0.02348366216382867, 'lam': -0.30554404458529083}","{'sigma': 0.01026053596017551, 'mu': -0.07108283957142203, 'w0': 0.21001482757867093, 'delta': 1.0449159315584211e-09, 'psi': 0.2}",{'sigma': 0.0259145021760812},0.0011130870619406753
Chlorella,0.03,3.867593069528758,4.124340722953489,-0.25674765342473105,0.18724973430360597,0.035062462996771036,0.957162092679523,0.850135511229206,0.5287125351829556,0.04540121854296053,0.07957638585211961,-0.19426594305043815,1.3222714711523358e-36,1.0,3.487556095040819e-49,0.006643001443380584,"{'sigma': 0.09030349194561361, 'lam': -0.3342752195796632}","{'sigma': 0.039535289060448786, 'mu': -0.07521773320668124, 'w0': 0.2222314046062798, 'delta': 1.2618592837299047e-09, 'psi': 0.2}",{'sigma': 0.09317728269893924},0.013286002886761168
Brachionus,0.03,1.2637439813298394,1.160818089031502,0.10292589229833737,0.04821850732764038,0.0023250244489057092,0.8961378323018796,0.765304185897065,0.45717841549430693,0.04153832303900361,0.08091621330783223,-0.18474265386577593,2.593573993176854e-43,1.0,3.2625781729910493e-56,0.00039752178721491876,"{'sigma': 0.02317981098659604, 'lam': -0.35106369420363537}","{'sigma': 0.009823861307627357, 'mu': -0.07583702216296206, 'w0': 0.22406109822673095, 'delta': 6.338567448693766e-10, 'psi': 0.2}",{'sigma': 0.0239090346965529},0.0007950435744298375
Chlorella,0.04,4.169614770805721,4.2312951161565655,-0.06168034535084477,0.12097325818169757,0.014634529195095659,0.9257438512715285,0.7557998202408127,0.3355207727011539,0.02859013964348733,0.04707607716291622,-0.10566664654573683,1.2739545628475966e-24,1.0,2.1086806634455926e-37,0.002043989996400815,"{'sigma': 0.0635128441747826, 'lam': -0.4110861438037463}","{'sigma': 0.024780230078355947, 'mu': -0.08022628932742504, 'w0': 0.23702922490331993, 'delta': 1.8428525372371496e-09, 'psi': 0.2}",{'sigma': 0.059552090624315546},0.00408797999280163
Brachionus,0.04,1.5126346464524352,1.50627177703275,0.006362869419685113,0.03774400870141184,0.0014246101928522528,0.8460195986285355,0.6642466768203078,0.28099282018556077,0.025057954496145396,0.04604643605421799,0.0009466988569356743,0.9997338370360505,0.00026616296388040704,6.916850886733895e-14,0.00017748865130231685,"{'sigma': 0.0197383233967235, 'lam': -0.43346564091103534}","{'sigma': 0.009209279995123332, 'mu': -0.12571967995785482, 'w0': 0.37147338090264687, 'delta': 3.3565928751588814e-05, 'psi': 0.2}",{'sigma': 0.018505323994690397},0.0003549773026046337
Chlorella,0.05,4.282581383947914,4.341019335880485,-0.05843795193257151,0.09922565619468494,0.009845730847265819,0.8980335545979466,0.6815153615282921,0.22328884686247102,0.022857689715944863,-0.07172479611030332,-0.13416853601602302,0.0002851476223632856,0.9997148523776368,9.735177308857629e-17,0.0012621365804036616,"{'sigma': 0.055659500696955425, 'lam': -0.4809542805101139}","{'sigma': 0.022092882534364477, 'mu': -0.11437873519034403, 'w0': 0.3379329019587059, 'delta': 3.613442878247497e-10, 'psi': 0.2}",{'sigma': 0.048408034146468375},0.0025242731608073232
Brachionus,0.05,1.86919881534909,1.833460531325486,0.03573828402360402,0.034982269772046666,0.0012237591984042499,0.814614175501506,0.6048050480094471,0.20354211432980285,0.01907991562759592,0.14364948970582642,-0.11119603742798573,0.002659251537063784,0.9973407484629359,3.4360205313713887e-16,0.00014348466622825655,"{'sigma': 0.019467724834329788, 'lam': -0.49944552790716346}","{'sigma': 0.007534214668358352, 'mu': -0.11528352800613328, 'w0': 0.34060611982315736, 'delta': 5.068265807040007e-10, 'psi': 0.2}",{'sigma': 0.01705630613835069},0.0002869693324565131
Chlorella,0.060000000000000005,4.535702385960957,4.452612491172116,0.08308989478884143,0.08792903301694656,0.007731514847295278,0.8741426667089941,0.6207392815542239,0.15741422095004917,0.019747788424358474,0.054752480346945125,-0.09947934953785637,3.1684157581292654e-08,0.9999999683158424,1.2204994259234377e-19,0.0010028785530165722,"{'sigma': 0.050829808060668065, 'lam': -0.516278793341086}","{'sigma': 0.01958784004999159, 'mu': -0.11521532722597616, 'w0': 0.3404046198194057, 'delta': 2.6167379374442135e-10, 'psi': 0.2}",{'sigma': 0.042779217258521005},0.0020057571060331444
Brachionus,0.060000000000000005,2.133399237315256,2.1424875302212327,-0.00908829290597657,0.033427443977534346,0.001117394010871197,0.8020742264644943,0.58759022176127,0.18204772667599636,0.015602162933132485,0.0566784983502491,-0.12825804380166422,1.0367901685380977e-06,0.9999989632098314,2.841990154172543e-18,0.00013877636191645908,"{'sigma': 0.018725879997361868, 'lam': -0.5056067739210777}","{'sigma': 0.007147915669189375, 'mu': -0.11317677478071486, 'w0': 0.3343817002439579, 'delta': 4.338445158680315e-10, 'psi': 0.2}",{'sigma': 0.01630333057368153},0.00027755272383291817
Chlorella,0.06999999999999999,4.576515490680831,4.565518102273422,0.010997388407409048,0.07999501339734699,0.006399202168441725,0.8252819748977123,0.48417305084667006,-0.03829727262662266,0.017521577001442145,-0.020112399698372908,-0.12942962490824633,7.061889082659882e-10,0.9999999992938111,3.8998492315331595e-21,0.0006905059802318238,"{'sigma': 0.05236400818141078, 'lam': -0.660718716584543}","{'sigma': 0.018333458671897507, 'mu': -0.12550942327535064, 'w0': 0.37081861002641586, 'delta': 1.27752697309802e-10, 'psi': 0.2}",{'sigma': 0.03876222073030837},0.0013810119604636475
Brachionus,0.06999999999999999,2.41463810403547,2.4341391272192676,-0.01950102318379754,0.031330545530679973,0.0009816030832500108,0.7631767099295244,0.5007640331943366,0.04137811643281757,0.012871288396858908,0.0543911910391839,-0.14853805585283372,5.288957927006065e-11,0.9999999999471105,3.2193711164475386e-22,0.00010870877206796535,"{'sigma': 0.019352436310320804, 'lam': -0.615490925929651}","{'sigma': 0.006981451345870138, 'mu': -0.1222559515169599, 'w0': 0.3612062018227347, 'delta': 6.445246558683948e-10, 'psi': 0.2}",{'sigma': 0.015199424472107505},0.0002174175441359307
Chlorella,0.08,4.658393446127061,4.679493791785916,-0.02110034565885499,0.0768537006654256,0.005906491305970839,0.8036760947711912,0.4354314894147306,-0.038012220105227534,0.016423500632259797,-0.0542240295978037,-0.1421021920219934,0.9999970911688739,2.908831094946434e-06,3.102019919606748e-14,0.0005461273748468266,"{'sigma': 0.05047046797442464, 'lam': -0.6761474971833179}","{'sigma': 0.020385585901882664, 'mu': -0.16917600877430705, 'w0': 0.4998393278275527, 'delta': 7.436605619970393e-06, 'psi': 0.2}",{'sigma': 0.037226611383762556},0.0010922547496936533
Brachionus,0.08,2.72068105646098,2.708866946872365,0.01181410958861484,0.03051883259392914,0.0009313991428962717,0.765627954634256,0.5052049946515004,0.08479899622551343,0.011266273639721077,0.0422276050290229,-0.05666247367385593,0.0009287968816447546,0.9990712031183552,9.896121817915888e-17,9.630639133813559e-05,"{'sigma': 0.01806048306705992, 'lam': -0.5754442707405589}","{'sigma': 0.006644560952397738, 'mu': -0.12138406165020266, 'w0': 0.3586301958664154, 'delta': 3.7716740841631236e-10, 'psi': 0.2}",{'sigma': 0.014810443429644382},0.00019261278267627117
