Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Lag-6 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
0.005,2.240277236574183,1.565549012179054,0.6747282243951291,1.5026571700454436,2.257978570688981,0.9875739950133297,0.9556345794616793,0.9068546361267292,0.6975777669214218,0.9594172923973239,1.2852933126434918,0.9812757466811138,2.2151743262515998e-30,1.0,1.7995128725543196e-41,0.27342076394886344,"{'sigma': 0.46309303677415964, 'lam': -0.27871041159741594}","{'sigma': 0.19957600287194843, 'mu': -0.06658149446944672, 'w0': 0.19671556591184688, 'delta': 2.1865842469992458e-11, 'psi': 0.2}",{'sigma': 0.5194802913347055},0.5468415278977269
0.01,3.061819862242219,2.136064459696074,0.925755402546145,0.6431514345593947,0.4136437677758074,0.9768222560410754,0.9325681789526628,0.8681355984009865,0.580101535779489,0.3011040450552386,0.7792357631018225,0.8220550097568862,3.075384657604214e-20,1.0,3.973430006592517e-32,0.08239391288722298,"{'sigma': 0.24347402969570953, 'lam': -0.260066518905973}","{'sigma': 0.10615193515860488, 'mu': -0.06539263687317587, 'w0': 0.1932030764818798, 'delta': 1.0716760812101711e-11, 'psi': 0.2}",{'sigma': 0.2833245787576775},0.16478782577444595
0.015,2.6863207511836014,3.045233290683109,-0.35891253949950785,0.38704878786802543,0.14980676419010777,0.954390649276522,0.8832094741691495,0.7909891663820667,0.4200359924343356,0.12709853223606768,0.32000369333575845,0.2511974774518806,2.456813970975332e-18,1.0,9.991027181545027e-32,0.0,"{'sigma': 0.16405599763825066, 'lam': -0.2717339210577232}","{'sigma': 0.07358907956045058, 'mu': -0.06843035054605906, 'w0': 0.20217802617670966, 'delta': 1.5720758028692217e-13, 'psi': 0.2}",{'sigma': 0.18913208842708162},0.0660175683066557
0.02,3.829742259282161,3.981909130774398,-0.15216687149223684,0.27732653787926687,0.07691000861210044,0.9206648081122654,0.8160005415989141,0.685898489027514,0.24471023717150564,0.06964637230791493,0.11947974881900962,-0.09175440458113195,4.010603999982646e-33,1.0,4.1493030381086784e-46,0.01505148585172831,"{'sigma': 0.12750986106304021, 'lam': -0.31731152584548905}","{'sigma': 0.05570056868027251, 'mu': -0.07266809364880422, 'w0': 0.21469847257381836, 'delta': 2.531308496145357e-14, 'psi': 0.2}",{'sigma': 0.1375507891757199},0.03010297170345662
0.025,4.299692180682645,4.904452622012951,-0.6047604413303063,0.2612135029628357,0.06823249413011535,0.9122606222054381,0.7976473558617573,0.6663114826921418,0.21476098520181974,0.05326032741960484,0.04850480823905546,0.10138128622418184,1.092107746883578e-36,1.0,2.356257692625084e-49,0.013211958535710392,"{'sigma': 0.12214157642242877, 'lam': -0.32492068852183653}","{'sigma': 0.053158909425320644, 'mu': -0.0733964591531342, 'w0': 0.21685043437009716, 'delta': 1.2025935802739696e-12, 'psi': 0.2}",{'sigma': 0.13046699209382576},0.026423917071420784
0.03,5.700594073415664,5.8047257068134925,-0.10413163339782816,0.23651483477466323,0.05593926706848625,0.8949145315311843,0.7691474396074287,0.6260819656080826,0.1549594689423034,0.04074519448105555,-0.0037927090658243633,-0.015203149313072652,1.3288512623077862e-43,1.0,1.9255013708546147e-56,0.009874830529616815,"{'sigma': 0.1135121287178562, 'lam': -0.3461716844424201}","{'sigma': 0.048352311037608287, 'mu': -0.07534994192108835, 'w0': 0.22262201512298505, 'delta': 5.863509677794809e-11, 'psi': 0.2}",{'sigma': 0.11802282871196533},0.01974966105923363
0.035,6.307853158977287,6.679177559535131,-0.3713244005578442,0.2138270178639951,0.04572199356860928,0.8740406651103427,0.7253560151863852,0.5621395087629708,0.05902355841178248,0.032013955339632104,0.07288619920897046,-0.19595085545645408,9.085638020516593e-42,1.0,3.274223314034822e-54,0.006789613516083897,"{'sigma': 0.10682709671443515, 'lam': -0.3858378154200719}","{'sigma': 0.04342280097941975, 'mu': -0.07860221988888605, 'w0': 0.23223089683843307, 'delta': 1.176279074144304e-10, 'psi': 0.2}",{'sigma': 0.10553408656091558},0.013579227032167794
0.04,7.657565995999782,7.531502557224636,0.12606343877514625,0.2063058005997261,0.04256208336109395,0.8589976732000674,0.6881066770151171,0.5021086185062685,-0.0007300346319452588,0.027392361372479326,-0.1437657311839881,-0.09845978155310108,1.486837269854236e-28,1.0,3.100129421181484e-41,0.005860693809936599,"{'sigma': 0.1059478902188962, 'lam': -0.41156572586089935}","{'sigma': 0.04110475379688716, 'mu': -0.0794180931078119, 'w0': 0.2346414007869084, 'delta': 1.787814341014382e-11, 'psi': 0.2}",{'sigma': 0.1016751223082941},0.011721387619873198
0.045,8.230813139140588,8.358978241912085,-0.12816510277149717,0.1885969649171493,0.035568815175960444,0.8416259469017496,0.6587513113398128,0.46071733254476377,-0.04502915113133796,0.02256225738737396,-0.08492121699839005,0.052656998439757394,1.5035785130180866e-21,1.0,1.0217139899879e-33,0.004604931618086859,"{'sigma': 0.10087997527173163, 'lam': -0.4482117206183238}","{'sigma': 0.037190162823963924, 'mu': -0.08183679089186868, 'w0': 0.24178746304477416, 'delta': 3.879740972934087e-11, 'psi': 0.2}",{'sigma': 0.09285545306327354},0.009209863236173718
0.05,9.213061357440296,9.165733703366573,0.047327654073722414,0.1730315855818791,0.029939929608979145,0.8112968689678721,0.603662756124995,0.39782427273818743,-0.10516554817286292,0.01887808014217064,0.01421495538693604,-0.23961841330348935,5.106930051807105e-11,0.9999999999489306,9.722941253469326e-24,0.003525240114659053,"{'sigma': 0.09593601402968173, 'lam': -0.4951575117842233}","{'sigma': 0.032520972992042596, 'mu': -0.08339486259203799, 'w0': 0.2463907987982505, 'delta': 3.0636604364531195e-10, 'psi': 0.2}",{'sigma': 0.0844538143132241},0.007050480229318106
