Realisation number,Variable,Time,Frequency,Empirical
1,Chlorella,159.0,-3.141592653589793,7.374420053338453e-08
1,Chlorella,159.0,-2.9845130209103035,8.590231977422596e-08
1,Chlorella,159.0,-2.827433388230814,8.759309610375555e-08
1,Chlorella,159.0,-2.6703537555513246,1.3242097407966658e-07
1,Chlorella,159.0,-2.5132741228718345,1.8084713543426515e-07
1,Chlorella,159.0,-2.356194490192345,9.990623943974245e-08
1,Chlorella,159.0,-2.199114857512855,1.7492036886661806e-07
1,Chlorella,159.0,-2.0420352248333655,2.979282482007529e-07
1,Chlorella,159.0,-1.884955592153876,3.4092301976475863e-07
1,Chlorella,159.0,-1.7278759594743864,5.191677564636677e-07
1,Chlorella,159.0,-1.5707963267948966,7.744349046508873e-07
1,Chlorella,159.0,-1.413716694115407,3.2886834049806925e-06
1,Chlorella,159.0,-1.2566370614359172,9.171991635903053e-06
1,Chlorella,159.0,-1.0995574287564276,7.3465389125043425e-06
1,Chlorella,159.0,-0.942477796076938,5.505495303010292e-06
1,Chlorella,159.0,-0.7853981633974483,1.1271148785294682e-05
1,Chlorella,159.0,-0.6283185307179586,1.3222684187137026e-05
1,Chlorella,159.0,-0.471238898038469,1.4088512667626697e-05
1,Chlorella,159.0,-0.3141592653589793,2.0993418335958265e-05
1,Chlorella,159.0,-0.15707963267948966,3.280267611415536e-05
1,Chlorella,159.0,0.0,1.6639264718288523e-05
1,Chlorella,159.0,0.15707963267948966,3.280267611415536e-05
1,Chlorella,159.0,0.3141592653589793,2.0993418335958265e-05
1,Chlorella,159.0,0.471238898038469,1.4088512667626697e-05
1,Chlorella,159.0,0.6283185307179586,1.3222684187137026e-05
1,Chlorella,159.0,0.7853981633974483,1.1271148785294682e-05
1,Chlorella,159.0,0.942477796076938,5.505495303010292e-06
1,Chlorella,159.0,1.0995574287564276,7.3465389125043425e-06
1,Chlorella,159.0,1.2566370614359172,9.171991635903053e-06
1,Chlorella,159.0,1.413716694115407,3.2886834049806925e-06
1,Chlorella,159.0,1.5707963267948966,7.744349046508873e-07
1,Chlorella,159.0,1.7278759594743864,5.191677564636677e-07
1,Chlorella,159.0,1.884955592153876,3.4092301976475863e-07
1,Chlorella,159.0,2.0420352248333655,2.979282482007529e-07
1,Chlorella,159.0,2.199114857512855,1.7492036886661806e-07
1,Chlorella,159.0,2.356194490192345,9.990623943974245e-08
1,Chlorella,159.0,2.5132741228718345,1.8084713543426515e-07
1,Chlorella,159.0,2.6703537555513246,1.3242097407966658e-07
1,Chlorella,159.0,2.827433388230814,8.759309610375555e-08
1,Chlorella,159.0,2.9845130209103035,8.590231977422596e-08
1,Chlorella,159.0,3.141592653589793,7.374420053338453e-08
1,Chlorella,169.0,-3.141592653589793,6.272454135375577e-08
1,Chlorella,169.0,-2.9845130209103035,7.97315193346095e-08
1,Chlorella,169.0,-2.827433388230814,7.062866347589617e-08
1,Chlorella,169.0,-2.6703537555513246,9.33716809063597e-08
1,Chlorella,169.0,-2.5132741228718345,1.8992290835583916e-07
1,Chlorella,169.0,-2.356194490192345,2.437648093735198e-07
1,Chlorella,169.0,-2.199114857512855,1.9445999676279586e-07
1,Chlorella,169.0,-2.0420352248333655,2.536698026041041e-07
1,Chlorella,169.0,-1.884955592153876,3.4580823601407383e-07
1,Chlorella,169.0,-1.7278759594743864,4.937475672362499e-07
1,Chlorella,169.0,-1.5707963267948966,8.955845753760137e-07
1,Chlorella,169.0,-1.413716694115407,4.3949888053153235e-06
1,Chlorella,169.0,-1.2566370614359172,9.154673644664291e-06
1,Chlorella,169.0,-1.0995574287564276,1.2631187882189671e-05
1,Chlorella,169.0,-0.942477796076938,1.4911190833892125e-05
1,Chlorella,169.0,-0.7853981633974483,1.1783119701698105e-05
1,Chlorella,169.0,-0.6283185307179586,8.437466747509385e-06
1,Chlorella,169.0,-0.471238898038469,1.1876883391862232e-05
1,Chlorella,169.0,-0.3141592653589793,3.0299471597443042e-05
1,Chlorella,169.0,-0.15707963267948966,3.3566546760844706e-05
1,Chlorella,169.0,0.0,8.782023228067456e-06
1,Chlorella,169.0,0.15707963267948966,3.3566546760844706e-05
1,Chlorella,169.0,0.3141592653589793,3.0299471597443042e-05
1,Chlorella,169.0,0.471238898038469,1.1876883391862232e-05
1,Chlorella,169.0,0.6283185307179586,8.437466747509385e-06
1,Chlorella,169.0,0.7853981633974483,1.1783119701698105e-05
1,Chlorella,169.0,0.942477796076938,1.4911190833892125e-05
1,Chlorella,169.0,1.0995574287564276,1.2631187882189671e-05
1,Chlorella,169.0,1.2566370614359172,9.154673644664291e-06
1,Chlorella,169.0,1.413716694115407,4.3949888053153235e-06
1,Chlorella,169.0,1.5707963267948966,8.955845753760137e-07
